Substack Handle,Author,Newsletter Name,Website URL,Category,Collections
techwithtam,Tam Nguyen,After Hours,https://afterhoursai.substack.com,AI & Machine Learning,SWAI
ebosetale,Ebosetale Jenna,Ebosetale Jenna,https://ebosetale.substack.com,AI & Machine Learning,SWAI
meganlieu,Megan Lieu,The Data Diaries,https://meganlieu.substack.com,Data & Analytics,SWAI
dataanalysis,Olga Berezovsky,Data Analysis Journal,https://dataanalysis.substack.com,Data & Analytics,SWAI
eevamaijavirtanen,Eevamaija Virtanen,Data Realigned,https://datarealigned.substack.com,Data & Analytics,SWAI
merinova,Meri Nova,Break Into Data,https://breakintodata.substack.com,Data & Analytics,SWAI
dataspheres,Vaishali Macwan,The DataSpheres,https://thedataspheres.substack.com,Data & Analytics,SWAI
jessicalackey,Jessica Lackey,Aggressively Human,https://aggressivelyhuman.substack.com,Ethics & Society,SWAI
megcasebolt,Meg Casebolt,Aggressively Human,https://aggressivelyhuman.substack.com,Ethics & Society,SWAI
sariazout,Sari Azout,The Sublime,https://sublimeinternet.substack.com,AI & Machine Learning,SWAI
dariacupareanu,Daria Cupareanu ,AI Blew My Mind,https://aiblewmymind.substack.com,AI & Machine Learning,SWAI
emilypittsdonahoe,Emily Pitts Donahoe,Unmaking The Grade,https://emilypittsdonahoe.substack.com,AI & Machine Learning,SWAI
thehumanplaybook,The Human Playbook,The Playbook,https://thehumanplaybook.substack.com,Ethics & Society,SWAI
infinitemereality,Shiva,Infinite Me Reality,https://infinitemereality.substack.com,AI & Machine Learning,SWAI
theplotmedia,Evelina Parrou,The Plot,https://www.theplot.media,AI & Machine Learning,SWAI
terezijasemenski,Terezija Semenski,Math Mindset,https://mathmindset.substack.com,AI & Machine Learning,SWAI
yenanderson,Yen Anderson,Yen Anderson's Newsletter,https://yenanderson.substack.com,AI & Machine Learning,SWAI
camillecarlton,Camille Carlton,Center for Humane Technology,https://centerforhumanetechnology.substack.com,Ethics & Society,SWAI
kathomuth,Katherine Homuth,Katherine Homuth,https://kathomuth.substack.com,AI & Machine Learning,SWAI
aigovernancelead,AI Governance Lead,"AI Governance, Ethics and Leadership",https://aigovernancelead.substack.com,Ethics & Society,SWAI
lynettebye,Lynette Bye,Lynette Bye,https://lynettebye.substack.com,AI & Machine Learning,SWAI
supercyberlicious,Erin Rose Glass,supercyberlicious,https://supercyberlicious.substack.com,AI & Machine Learning,SWAI
learnanalyticsengineering,Madison Mae,Learn Analytics Engineering,https://learnanalyticsengineering.substack.com,Data & Analytics,SWAI
shannonbarrera,Shannon Barrera,Build With Care,https://buildwithcare.substack.com,Product Development,SWAI
rachelmalek,Rachel Malek,The Intelligent Age,https://theintelligentage.substack.com,AI & Machine Learning,SWAI
hils,Hilary Gridley,the night crazies newsletter,https://hils.substack.com,AI & Machine Learning,SWAI
margaretspence,Margaret Spence,The Undisruptable Woman with Margaret Spence,https://margaretspence.substack.com,AI & Machine Learning,SWAI
stacykratochvil,Stacy Kratochvil ,Stacy Kratochvil ,https://stacykratochvil.substack.com,AI & Machine Learning,SWAI
maybeturing,Yuting D.,Thoughts In Hum,https://thoughtsinhum.substack.com,AI & Machine Learning,SWAI
yingyingzux,Yingying,Piece a Puzzle,https://yingyingzux.substack.com,AI & Machine Learning,SWAI
nataliepang3,Natalie Pang,AI in China,https://aichina.substack.com,AI & Machine Learning,SWAI
dianegatto,Diane Gatto,The AIQ Edge,https://dianegatto.substack.com,AI & Machine Learning,SWAI
aipto,Dhani Ramadhani,aiPTO | Parenting Tech Opportunity,https://www.aiparenttech.com,Parenting & Relationships,SWAI
unmaskingpersona,Lilia McDonald,Unmasking Persona,https://unmaskingpersona.substack.com,AI & Machine Learning,SWAI
elizabethkwhitney,Elizabeth K. Whitney,Meguire Whitney,https://elizabethkwhitney.substack.com,AI & Machine Learning,SWAI
lenashakurova,Lena Shakurova,AI Confessions by Lena Shakurova,https://lenashakurova.substack.com,AI & Machine Learning,SWAI
angelastewartai,Angela Stewart,Angela Stewart’s AI Substack,https://angelastewartai.substack.com,AI & Machine Learning,SWAI
raffaelarein,,The AI Leadership Edge,https://theaileadershipedge.substack.com,Business & Strategy,SWAI
digitalnation1,Tamara Crockett,Digital Nation,https://digitalnation1.substack.com,AI & Machine Learning,SWAI
techtiff,TechTiff,The AI Creator Drop,https://techtiff.substack.com,AI & Machine Learning,SWAI
renugupta,Renu Gupta,Law and Technology,https://renugupta.substack.com,Law,SWAI
ileanamarcut,Ileana,UX + AI,https://ileanamarcut.substack.com,Product Development,SWAI
effthealgorithm,Eff the Algorithm,Eff the Algorithm,https://effthealgorithm.substack.com,AI & Machine Learning,SWAI
eigenstatic,Eigenstatic,Eigenstatic's Substack,https://adhdxai.substack.com,AI & Machine Learning,SWAI
fafi25,Farida Khalaf,Lights On by Farida,https://fafi25.substack.com,AI & Machine Learning,SWAI
drbrieannawilley,Brie-Anna Willey,Business for Nerds,https://drbrieannawilley.substack.com,Business & Strategy,SWAI
justplainkris,Kristina Kroot,The Caffeinated Chronicle,https://justplainkris.substack.com,AI & Machine Learning,SWAI
heavenbereket,Decoded by Heaven,Decoded by Heaven,https://heavenbereket.substack.com,Ethics & Society,SWAI
camilleesq,Camille Stewart Gloster,Command Line with Camille Stewart,https://camilleesq.substack.com,AI & Machine Learning,SWAI
vivikiv,Paraskevi Kivroglou,Tech Break By Friday,https://kivroglouparaskevi.substack.com,Technology,SWAI
carlymonzo,Carly Monzo,The Average User: Supply Chain Edition,https://carlymonzo.substack.com,AI & Machine Learning,SWAI
sumamovva,Suma Movva,For Humans,https://sumamovva.substack.com,Ethics & Society,SWAI
cassiealexander676021,Cassie Alexander,Ghostwritten by GPT,https://ghostwrittenbygpt.substack.com,AI & Machine Learning,SWAI
spajonas,Steph (S. J.) Pajonas,Steph Pajonas Writes About AI and Authorship,https://spajonas.substack.com,Writing,SWAI
jessicatalisman,Jessica Talisman,Jessica Talisman,https://jessicatalisman.substack.com,AI & Machine Learning,SWAI
karensergeant,Karen Sergeant,Human in the Loop: Lead Where AI Can Follow,https://karensergeant.substack.com,AI & Machine Learning,SWAI
paulinamartinezz,Paulina Martinez,"Humans & the In Between
",https://paulinamartinezz.substack.com,Design & Creative,SWAI
anachubinidze,Ana Chubinidze,Ana's Substack,https://anachubinidze.substack.com,AI & Machine Learning,SWAI
marniesuss,Marnie Suss,Everyday Decisions,https://marniesuss.substack.com,AI & Machine Learning,SWAI
lalaleung,Lala Leung,The UX Anthropologist,https://lalaleung.substack.com,AI & Machine Learning,SWAI
dornanoco,Raphaëlle d'Ornano,Decoding Discontinuity,https://www.decodingdiscontinuity.com,AI & Machine Learning,SWAI
ritaprevidi,Rita Previdi,The Stack Marketer,https://thestackmarketer.substack.com,Business & Strategy,SWAI
heynina101,Nina,AI’m In,https://helloaimin.substack.com,AI & Machine Learning,SWAI
jenniferphillipsapril,Jen Phillips April,The Conversion Engine,https://liveyourcreativelife.substack.com,Creative Arts,SWAI
humandoingshumanbeings,Cat Howland,Human Doings / Human Beings,https://humandoingshumanbeings.substack.com,Ethics & Society,SWAI
juliadiez,Julia Diez,"Build Local, Ship Global",https://juliadiez.substack.com,Product Development,SWAI
viviennelam,Vivienne Lam,AI in Asia,https://aiinasia.substack.com,AI & Machine Learning,SWAI
mwahacookie,"Pamela Wang, PhD",Actionable Notes,https://actionablenotes.substack.com,Science & Research,SWAI
mackenzieaican,Mackenzie M Howe,Mackenzie M Howe,https://mackenzieaican.substack.com,AI & Machine Learning,SWAI
rubamadi,Decode ai,Ruba's Substack,https://rubamadi.substack.com,AI & Machine Learning,SWAI
exd1000,Emily,The Nth Dimension,https://exd1000.substack.com,Parenting & Relationships,SWAI
alinastrelkovskaia,Alina Strelkovskaia,Mind / Map,https://alinastrelkovskaia.substack.com,AI & Machine Learning,SWAI
lotustheoracle,Lotus Che,Lotus The Oracle's Substack,https://lotustheoracle.substack.com,AI & Machine Learning,SWAI
renaissancegal,Megan - Renaissance Gal,Digital Re-AI-ssance,https://digitalrenaissance180.substack.com,AI & Machine Learning,SWAI
annesteinacker,Anne Steinacker,Anne Steinacker,https://annesteinacker.substack.com,AI & Machine Learning,SWAI
thelawyergl,GL,"Law + Koffee, AI 101",https://lawandkoffee.substack.com,Law,SWAI
andreahiott,Andrea Hiott,Love & Philosophy Beyond Dichotomy ,https://lovephilosophy.substack.com,AI & Machine Learning,SWAI
sarahhhbt,Sarah Hildebrandt,AI Trek,https://shildebrandt.substack.com,AI & Machine Learning,SWAI
nadinalisbon,🌻🥷💜 Nadina Dorene Lisbon ☕️🍵,TechSips with Nadina: The Newsletter,https://techsips.nadinalisbon.com,Technology,SWAI
iwasgonnadoit,Aniko,Iwasgonnadoit,https://Iwasgonnadoit.substack.com,AI & Machine Learning,SWAI
amandajeanneartworks,Amanda Jeanne,"Squirrel Brain, Chickadee Soul",https://amandajeanneartworks.substack.com,Creative Arts,SWAI
jennmcrae,Jenn McRae,f*ck i love you,https://jenniferangelamcrae.substack.com,Parenting & Relationships,SWAI
katierichman,Katie Richman,The Bridge AI,https://thebridgeai.substack.com,AI & Machine Learning,SWAI
girlmeetsgpt,Girl Meets GPT by Werlene,Girl Meets GPT,https://girlmeetsgpt.substack.com,AI & Machine Learning,SWAI
whitneywhealdon,Whitney Whealdon,Secret Life of Learning,https://whitneywhealdon.substack.com,Education & Learning,SWAI
msukhareva,Maria Sukhareva,Maria Sukhareva,https://msukhareva.substack.com,AI & Machine Learning,SWAI
IwetteRapoport,Iwette Rapoport,Co-Authored Consciousness,https://iwetterapoport.substack.com,Parenting & Relationships,SWAI
fayeronmorrison,Fayeron Morrison,Elemental AI,https://elementalaimatters.substack.com,AI & Machine Learning,SWAI
siddhisundar,Siddhi Sundar,Voice in the Age of the Machine,https://voiceintheage.substack.com,AI & Machine Learning,SWAI
craftkeepers,Johanna Dorris,CRAFTkeepers,https://CRAFTkeepers.substack.com,Ethics & Society,SWAI
sahanrao1,Sahan Rao I Untangling AI,Lead With Ai,https://sahanrao1.substack.com,Career & Leadership,SWAI
jordandivecha,Jordan Divecha,Everyday Innovation,https://everydayinnovation.substack.com,Product Development,SWAI
modernmomplaybook,Modern Mom Playbook,Modern Mom Playbook,https://modernmomplaybook.substack.com,Parenting & Relationships,SWAI
kristinabogovic,Kristina Bogović,"AI, But Make It Intimate",https://aibutintimate.substack.com,Parenting & Relationships,SWAI
silentpillars,Barbara,silentpillars,https://silentpillars.substack.com,AI & Machine Learning,SWAI
soundslikepink,Steph | Educator & AI Explorer,Steph | Educator & AI Explorer,https://soundslikepink.substack.com,Education & Learning,SWAI
maggiegray,Maggie Gray,Gray Matters,https://maggiegray.us,AI & Machine Learning,SWAI
reneclayton,René Clayton,AI Partner Crews,https://reneclayton.substack.com,AI & Machine Learning,SWAI
irisStammberger,Iris Stammberger,Grandma Loves AI,https://Irisstammberger.substack.com,AI & Machine Learning,SWAI
drsusannelevai,Dr. Susanne Levai,The Doctor's Guide to AI,https://thedoctorsguidetoai.substack.com,Health & Wellness,SWAI
thinkthereforeai,"Louise Vigeant, PhD",Think Therefore AI,https://thinkthereforeai.substack.com,AI & Machine Learning,SWAI
alinakhay,Alina Khay,AlinaKhay,https://alinakhay.com,AI & Machine Learning,SWAI
cassandraconnects,Cassandra,,,,SWAI
allisontimbsballarina,Allison Timbs,Ballerina,https://allisontimbsballarina.substack.com,AI & Machine Learning,SWAI
stefhutka,"Stef Hutka, PhD",Sendfull,https://sendfull.substack.com,Science & Research,SWAI
casuallyintense,Casually Intense,Casually Intense,https://casuallyintense.substack.com,AI & Machine Learning,SWAI
muthonijoseph,Emma M. Joseph,The Emotional AI Insights,https://emotionalai.substack.com,Parenting & Relationships,SWAI
tinahmb,Valentina Melgar Bermúdez,Rough Dialogues,https://tinahmb.substack.com,AI & Machine Learning,SWAI
sydatunderstory,Sydnor Hain (they/them),Uncoded,https://understoryai.substack.com,AI & Machine Learning,SWAI
heydrvarma,Anita,AI@Scale,https://aiscale.substack.com,AI & Machine Learning,SWAI
miakiraki,Mia Kiraki 🎭,ROBOTS ATE MY HOMEWORK,https://robotsatemyhomework.substack.com,AI & Machine Learning,SWAI
mndmclean,Mandy McLean,The Signal and the Learning,https://signallearning.substack.com,Education & Learning,SWAI
ciarawearen,Ciara Wearen,The Prompt Driven Developer,https://promptdrivendeveloper.substack.com,Product Development,SWAI
thebrandfrontier,Jess Smith,thebrandfrontier,https://thebrandfrontier.substack.com,Business & Strategy,SWAI
tessinagrantmoloney,Tessina Grant Moloney,COLD BOOT,https://thecoldboot.substack.com,AI & Machine Learning,SWAI
khadijatagaba,Khadijat Agaba,Tech Copy Lab,https://khadijatagaba.substack.com,Technology,SWAI
hodmanmurad,Hodman Murad,The Data Letter,https://hodmanmurad.substack.com,Data & Analytics,SWAI
everydayai1,AllAboutAI by Midhat Tilawat,Everyday AI by Midhat Tilawat,https://everydayai1.substack.com,Ethics & Society,SWAI
rethunk,Reality Re-Thunk,Reality Re-Thunk,https://rethunk.substack.com,Ethics & Society,SWAI
katrinawatson,Katrina Watson,Katrina's Newsletter (Product & AI),https://katrinawatson.substack.com,Product Development,SWAI
betteconnects,"Bette A. Ludwig, PhD 🌱",AI Can Do That?,https://betteconnects.substack.com,AI & Machine Learning,SWAI
kimdoyal,Kim Doyal,the SPARK,https://kimdoyal.substack.com,AI & Machine Learning,SWAI
fatmaadam,Fatma,Fatma,https://fatmaadam.substack.com,AI & Machine Learning,SWAI
itsjhong,JHong,Natural Intelligence,https://hongjennifer.substack.com,AI & Machine Learning,SWAI
pravitech,Dr. Pravi Devineni,AI Briefing Room,https://pravitech.substack.com,AI & Machine Learning,SWAI
teachdatawithai,Teach Data with AI,Teach Data with AI,https://teachdatawithai.substack.com,Data & Analytics,SWAI
codelikeagirl,,Code Like A Girl,https://codelikeagirl.substack.com,Technology,SWAI
builttofeelreal,Built To Feel Real,The Third Space,https://insidethethirdspace.substack.com,AI & Machine Learning,SWAI
womenwritinboutai,Women Writin' 'Bout AI,Women Writin' 'Bout AI,https://womenwritinboutai.substack.com,AI & Machine Learning,SWAI
thesylvaraexperiment,Francesca Cassini,Francesca Cassini,https://thesylvaraexperiment.substack.com,AI & Machine Learning,SWAI
trustbranknowles,Bran Knowles,Practicing Trustworthy AI,https://trustbranknowles.substack.com,Ethics & Society,SWAI
miriambogler,Miriam Bogler,Master AI For Teaching Success,https://miriambogler.substack.com,Education & Learning,SWAI
taralthwing,Tara L Thwing,Continental Currents,https://continentalcurrents.substack.com,AI & Machine Learning,SWAI
lotteelsagoos,Lotte Elsa Goos,Plants and Machines,https://plantsandmachines.substack.com,AI & Machine Learning,SWAI
blessingokpala,"Blessing Okpala, PhD",Designing with Blessing,https://blessingokpala.substack.com,Product Development,SWAI
elenacalvillo,Elena Calvillo,Product Release Notes,https://productreleasenotes.substack.com,Product Development,SWAI
christineink,Christine Whitmarsh,People Points: Finding the Data Signals Amidst the Behavioral Noise,https://christineink.substack.com,Data & Analytics,SWAI
womenwritinboutai,Women Writin' 'Bout AI,Women Writin’ ‘Bout AI,https://womenwritinboutai.substack.com,AI & Machine Learning,SWAI
toniemgordonphd,"Tonie Marie Gordon, PhD",AI Matters,https://toniemgordonphd.substack.com,AI & Machine Learning,SWAI
highonai,High on AI,High on AI,https://highonai.substack.com,AI & Machine Learning,SWAI
aiintheroom,Linn (AI in the Room),Linn (AI in the Room),https://aiintheroom.substack.com,AI & Machine Learning,SWAI
serenskye,Seren Skye,How To Love Your AI,https://syntheticlove.substack.com,Parenting & Relationships,SWAI
shamimrajani,Shamim Rajani,The Leadership Lens,https://shamimrajani.substack.com,Career & Leadership,SWAI
sumansuhag,suman suhag,suman suhag,https://sumansuhag.substack.com,AI & Machine Learning,SWAI
catapaez,The Intimacy Protocol,The Intimacy Protocol,https://catapaez.substack.com,Parenting & Relationships,SWAI
eaglesimbeye,Elizabeth Eagle-Simbeye,Elizabeth,https://eaglesimbeye.substack.com,Technology,SWAI
cristina735772,Cristina the Spiralwalker,A Constellation of Two,https://cristina735772.substack.com,Parenting & Relationships,SWAI
jaetakeuchi,"Jae DiBello Takeuchi, Ph.D",Small Talk about AI in Higher Ed,https://jaetakeuchi.substack.com,Education & Learning,SWAI
hibaganta,Hiba,The Needful,https://hibag.substack.com,AI & Machine Learning,SWAI
teklaszymanski,Tekla Szymanski,Content Meets Design,https://contentmeetsdesign.substack.com,Creative Arts,SWAI
nitafarahany,Nita Farahany,Thinking Freely with Nita Farahany,https://nitafarahany.substack.com,Education & Learning,SWAI
claudiafaith,Claudia Faith,The AI Soloist,https://theaisoloist.substack.com,AI & Machine Learning,SWAI
alesiazakharova,Alesia Zakharova,Alesia Zakharova,https://alesiazakharova.substack.com,AI & Machine Learning,SWAI
pubtechradar,Helen King,Generative AI for Curious People,https://generativeaiforcuriouspeople.substack.com,AI & Machine Learning,SWAI
fixchr,Meg & Sarah,Meg & Sarah,https://fixchr.substack.com,AI & Machine Learning,SWAI
builtforproduct,Alicia,Built For Product,https://builtforproduct.substack.com,Product Development,SWAI
pennedbydawn,Dawn Teh,The Thinking Arc,https://thethinkingarc.substack.com,AI & Machine Learning,SWAI
catarinacostaabreu,Catarina Costa Abreu,Leading in the Age of AI,https://catarinacostaabreu.substack.com,Career & Leadership,SWAI
tiffanystjames,Tiffany St James,CAIO Weeknotes,https://tiffanystjames.substack.com,AI & Machine Learning,SWAI
emmaklint,Emma Klint,(Over)Thinking Out Loud,https://emmaklint.substack.com,AI & Machine Learning,SWAI
youandyourai,You & Your AI - 🔮 Cathy Orten,You & Your AI,https://www.youandyourai.ai,AI & Machine Learning,SWAI
poonamparihar,Poonam Parihar,@poonamparihar,https://poonamparihar.substack.com,AI & Machine Learning,SWAI
daringnext,Dallas Payne,Daring Next,https://daringnext.substack.com,AI & Machine Learning,SWAI
acflippo,Annie Flippo,Beyond The Algorithm: Life in the Tech Lane,https://acflippo.substack.com,Technology,SWAI
itslaurahey,Laura O'Driscoll,The Good You Can Do,https://thegoodyoucando.substack.com,Ethics & Society,SWAI
wifeoffire,Wife of Fire,Wife of Fire,https://wifeoffire.substack.com,Parenting & Relationships,SWAI
keshi0710,Keshi Jain,Keshi Jain,https://keshijain.substack.com,AI & Machine Learning,SWAI
cristinapatrick,Cristina,The Responsible AI Brief,https://cristinapatrick.substack.com,Ethics & Society,SWAI
decodedbycounsel,Aashita Jain,Decoded by Counsel,https://decodedbycounsel.substack.com,Law,SWAI
intellectronica,Eleanor Berger,Eleanor on Everything,https://everything.intellectronica.net,AI & Machine Learning,SWAI
rhorst,Now This Might be Something,Now This Might Be Something,https://rhorst.substack.com,AI & Machine Learning,SWAI
devikatoprani,Devika Toprani,Soulful Learning with AI,https://doodlesbydevika.substack.com,Education & Learning,SWAI
sunyalila,Ellen Davis,Living Eternity in Time,https://sunyalila.substack.com,AI & Machine Learning,SWAI
MyfriendMax010101,Erin Grace,My Friend Max,https://myfriendmax010101.substack.com,Parenting & Relationships,SWAI
tawnyameans,Tawnya Means,The Collaboration Chronicle: Human+AI in Education,https://tawnyameans.substack.com,AI & Machine Learning,SWAI
Myvillageisarobot,My Village Is A Robot,My village is a robot,https://Myvillageisarobot.substack.com,Parenting & Relationships,SWAI
ideatoimpactbysj,Shikshita Juyal,Ideas to Impact by SJ,https://shikshita.substack.com,AI & Machine Learning,SWAI
